product_name,brand_name,rating,rating_count,marked_price,discounted_price,sizes,product_link,img_link
Women Geometric Sleep Staple Night Suit,Sweet Dreams,0,0,1699.0,1189.0,"S,M,L,XL,XXL,3XL",night-suits/sweet-dreams/sweet-dreams-women-cream-geometric-sleep-staple-night-suit/17902626/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17902626/2022/6/3/951f0a45-0b03-4a79-a882-f508c8383a5c1654257725001-Sweet-Dreams-Women-Night-suits-621654257724340-1.jpg"
Unisex Aviator Sunglasses,Lee Cooper,0,0,3699.0,2959.0,L,sunglasses/lee-cooper/lee-cooper-unisex-brown-lens--brown-uv-protected-lens-aviator-sunglasses-lco9000foa-c3/18009698/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18009698/2022/4/24/83182d5a-06e3-487f-95db-4659deafaeca1650739867928Sunglasses1.jpg"
Basic Jumpsuit,20Dresses,0,0,2995.0,2096.0,"XXL,3XL,4XL",jumpsuit/20dresses/20dresses-pink-basic-jumpsuit/18368472/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18368472/2022/5/21/0573ec61-0ee0-40e5-86c0-57cdfe7ecd38165313339684620DressesWomenPinkJumpsuit1.jpg"
Bra,Floret,0,0,747.0,672.0,"30B,32B,34B,36B,38B,40B",bra/floret/floret-rose--black-bra/18364712/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18364712/2022/5/21/236a78db-9b9c-447f-bff1-b7945582d9941653118146911FloretWomenRoseBra1.jpg"
Women Typography Printed Applique T-shirt,Aeropostale,0,0,1199.0,839.0,"XS,S,M,L,XL",tshirts/aeropostale/aeropostale-women-blue-typography-printed-applique-t-shirt/18197040/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18197040/2022/5/9/c49b32be-bc1b-4668-9d2f-53e45e7cc1151652081154132AeropostaleWomenBlueTypographyPrintedAppliqueT-shirt1.jpg"
Women V-Neck Applique Loose T-shirt,KENDALL & KYLIE,0,0,3499.0,3499.0,"XS,S,M,L,XL",tshirts/kendall--kylie/kendall--kylie-women-off-white-v-neck-applique-loose-t-shirt/18182862/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18182862/2022/5/6/f7b59d52-539d-4e3c-adcf-7afe8ad958e91651851533816KENDALLKYLIEWomenOffWhiteV-NeckAppliqueLooseT-shirt1.jpg"
Women Colourblocked Slim Fit T-shirt,KENDALL & KYLIE,0,0,3999.0,3999.0,"XS,S,M,L,XL",tshirts/kendall--kylie/kendall--kylie-women-fuchsia-colourblocked-extended-sleeves-slim-fit-t-shirt/18182860/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18182860/2022/5/6/2bc6f920-c8a5-4dd2-a631-bb9b4bfe2d321651855148069KENDALLKYLIEWomenFuchsiaColourblockedExtendedSleevesSlimFitT1.jpg"
Floral Print Top,KENDALL & KYLIE,0,0,4999.0,4999.0,"XS,S,M,L,XL",tops/kendall--kylie/kendall--kylie-pink-floral-print-top/18181560/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18181560/2022/5/6/3a060f81-062d-41ba-8941-c4e0b7b55ddf1651851085349KENDALLKYLIEPinkFloralPrintTop1.jpg"
Men Shorts,SELECTED,0,0,2799.0,2799.0,"30,32,34,36,38",shorts/selected/selected-men-blue-shorts/18007282/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18007282/2022/4/23/64f3c97f-ec00-451f-b448-2403b2624a4b1650709160247SELECTEDMenBlueShorts1.jpg"
Men Rozana Kurta,House of Pataudi,0,0,1999.0,1199.0,"38,40,42,44,46",kurtas/house-of-pataudi/house-of-pataudi-men-blue--orange-floral-printed-rozana-kurta/17024298/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17024298/2022/6/1/b9bbfea6-3547-4954-809a-f69cefcefbe11654085719502KurtasHouseofPataudiMenKurtasHouseofPataudiMenKurtasHouseofP1.jpg"
