product_name,brand_name,rating,rating_count,marked_price,discounted_price,sizes,product_link,img_link
Men Lifestyle Lycra Shorts,HRX by Hrithik Roshan,4.6,5,1599,879,"28,30,32,34,36",shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-lifestyle-men-strong-blue--optic-white-lycra-brand-carrier-shorts/15308930/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15308930/2021/12/24/0886a62a-d10f-41d0-aca4-e7b91fb1ea791640327058907-HRX-by-Hrithik-Roshan-Men-Shorts-8401640327058194-1.jpg"
Women Solid Elevated Bottom Track Pants,Kook N Keech,0,0,2099,839,"XS,S,M,L,XL",track-pants/kook-n-keech/kook-n-keech-women-stylish-black-solid-elevated-bottom-track-pants/16618676/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16618676/2022/3/11/f47588b6-9f72-4173-912a-a20bb739e97d1646984383794-Kook-N-Keech-Women-Track-Pants-2561646984383369-1.jpg"
Men Leather Comfort Sandals,Metro,0,0,2290,2290,"UK5,UK6,UK7,UK8,UK9,UK10,UK11",sandals/metro/metro-men-maroon-leather-comfort-sandals/14301064/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/5/12/262c35a6-564f-49fe-89ff-13bd9d1804c31620819526413-1.jpg"
Colourblocked Round Neck T-shirt,OFF LIMITS,4.4,55,999,449,"XS,S,M,L,XL",tshirts/off-limits/off-limits-women-navy-blue-colourblocked-round-neck-t-shirt/13620484/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13620484/2021/2/11/b6e38373-f9d7-401c-8532-8fbd38bfd8e81613017782351OFFLIMITSWomenNavyBlueSolidRoundNeckT-shirt1.jpg"
Women Ballerinas Flats,Jove,0,0,2699,1349,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",flats/jove/jove-women-beige-ballerinas-with-bows-flats/17556424/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17556424/2022/3/17/abe056a9-b7bc-4d48-b188-f599baacd6e11647508983238JoveWomenBeigeBallerinaswithBowsFlats1.jpg"
Women One Toe Flats,Mochi,4.7,33,1290,1290,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",flats/mochi/mochi-women-white-printed-one-toe-flats/12687838/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/10/8/e3d7d7a7-534e-4724-8596-e24b8fa1e1751602106424696-1.jpg"
Printed PU Trekking Shoes,MOZAFIA,0,0,1499,1289,"UK3,UK4,UK5,UK6,UK7",casual-shoes/mozafia/mozafia-women-grey-printed-pu-lace-up-trekking-shoes/17224528/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17224528/2022/2/19/794f269b-e198-4058-a263-32070eadf2791645270912307MOZAFIAWomenGreyPrintedPUTrekkingShoes1.jpg"
Men Homme Eau De Perfume 90ml,Engage,3.9,131,499,449,90-100 ML,perfume-and-body-mist/engage/engage-men-homme-eau-de-perfume-90ml/6701068/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/6701068/2022/3/30/919552fb-da0f-4bb5-9af2-c65cd7e423681648638468630EngageMenHommeEauDePerfume90ml1.jpg"
Party High-Top Stiletto Heels,Rubeezz,3.8,5,3999,1799,"EURO35,EURO36,EURO37,EURO38,EURO39,EURO40",heels/rubeezz/rubeezz-gold-toned-party-high-top-stiletto-heels/17064026/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17064026/2022/2/7/4ccea671-5415-42b4-9ff9-ea70360ab4f01644223635103RubeezzGold-TonedPartyHigh-TopWedgePumps1.jpg"
Wedge Pumps with Bows,Hydes N Hues,0,0,4999,1699,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",heels/hydes-n-hues/hydes-n-hues-multicoloured-wedge-pumps-with-bows/18456612/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18456612/2022/5/28/6ad83ca7-52e5-44b2-9d03-ffeff7e9cfb51653725871854HydesNHuesMulticolouredWedgePumpswithBows1.jpg"
Women Heels,Mochi,4.8,17,1690,1690,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",heels/mochi/mochi-women-blue-striped-heels/13126244/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/11/30/b2f66141-546c-430f-b98a-89ee5f792a901606735855768-1.jpg"
Women Solid Suede Heels,Metro,4.9,8,1690,1690,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",heels/metro/metro-women-beige-solid-suede-heels/13757094/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/2/25/9e5afe4b-62bf-405a-8385-47b88161a18b1614243969879-1.jpg"
Solid Block Heels,Mochi,3.9,9,1690,1690,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",heels/mochi/mochi-women-white-solid-block-heels/13821610/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/3/6/86cc0097-2154-4077-94ed-d592f5fe1d261615030202612-1.jpg"
Women Sandals,Metro,0,0,1690,1690,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",heels/metro/metro-women-beige-solid-sandals/13757140/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/2/26/0dc20a42-6283-4eb7-b1e0-1a1baa3f9a501614312621933-1.jpg"
Women Sandals,Metro,0,0,1690,1690,"EURO36,EURO37,EURO38,EURO39,EURO40,EURO41",heels/metro/metro-women-blue-colourblocked-sandals/12015154/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12015154/2020/7/3/933aafbc-2c2c-4e06-8c65-1cc9f64bb0391593785306170Metroblue1.jpg"
Wedge Sandals with Buckles,VALIOSAA,0,0,3595,1797,"EURO35,EURO36,EURO37,EURO38,EURO39,EURO40",heels/valiosaa/valiosaa-white-wedge-sandals-with-buckles/18505104/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18505104/2022/5/30/812d5d73-be48-4e79-9ae3-e01e6222bf811653910080454Heels1.jpg"
Women Ethnic Motifs Printed Kurta,STREET 9,0,0,1899,569,"S,M,L,XL,XXL",kurtas/street-9/street-9-women-blue-ethnic-motifs-printed-pure-cotton-kurta/17433572/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17433572/2022/3/8/b1fe7e92-230f-4e66-b5c1-95f4fb3931cb1646729099010STREET9WomenBlueGeometricPrintedCold-ShoulderSleevesKurta1.jpg"
Women Flatform Sneakers,Roadster,4.3,8,2699,809,"UK3,UK4,UK5,UK6,UK7,UK8",casual-shoes/roadster/roadster-women-white--black-solid-flatform-sneakers-with-snakeskin-textured-strap-detail/14914606/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14914606/2021/8/21/643d355f-e4e3-4000-8b15-09412d3d84931629541145525-Roadster-Women-Casual-Shoes-1151629541145199-1.jpg"
