prod_link,tags,seller_address,meta_description,meta_keyword
kurtas/swagg-india/swagg-india-women-black-embroidered-chikankari-georgette-kurta/15981984/buy,"['clothing', 'women-clothing', 'kurtas', 'swagg-india-kurtas']","17,Gorjiwala industrial Estate,Op-church,Nr.Safari Complex,BhestanSurat , Gujarat - 395023",Buy SWAGG INDIA Women Black Embroidered Chikankari Georgette Kurta - Kurtas for Women from SWAGG INDIA at Rs. 755. Style ID: 15981984,"SWAGG INDIA Women Black Embroidered Chikankari Georgette Kurta,  SWAGG INDIA, Kurtas, Topwear, Apparel, Apparel for Women, Buy SWAGG INDIA Women Black Embroidered Chikankari Georgette Kurta Online in India, Buy Kurtas at best price"
lehenga-choli/lilpicks/lilpicks-girls-orange--green-block-print-ready-to-wear-lehenga--blouse-with-dupatta/14824282/buy,"['clothing', 'girls-clothing', 'lehenga-choli', 'lilpicks-lehenga-choli']","2nd Floor, NO. 39, NGEF Lane, Indiranagar First StageBangaloreBengaluru , Karnataka - 560038",Buy LilPicks Girls Orange & Green Block Print Ready To Wear Lehenga & Blouse With Dupatta - Lehenga Choli for Girls from LilPicks at Rs. 1880. Style ID: 14824282,"LilPicks Girls Orange & Green Block Print Ready To Wear Lehenga & Blouse With Dupatta,  LilPicks, Lehenga Choli, Topwear, Apparel, Apparel for Girls, Buy LilPicks Girls Orange & Green Block Print Ready To Wear Lehenga & Blouse With Dupatta Online in India, Buy Lehenga Choli at best price"
trousers/van-heusen/van-heusen-men-grey-checked-slim-fit-formal-trousers/18147856/buy,"['clothing', 'men-clothing', 'trousers', 'van-heusen-trousers']","5A/19,Ground Floor ( Front Portion),Ansari Raod,DaryaganjDelhi , Delhi - 110002",Buy Van Heusen Men Grey Checked Slim Fit Formal Trousers - Trousers for Men from Van Heusen at Rs. 1249. Style ID: 18147856,"Van Heusen Men Grey Checked Slim Fit Formal Trousers,  Van Heusen, Trousers, Bottomwear, Apparel, Apparel for Men, Buy Van Heusen Men Grey Checked Slim Fit Formal Trousers Online in India, Buy Trousers at best price"
heels/mast--harbour/mast--harbour-women-blue-quilted-comfort-sandals/15991658/buy,"['footwear', 'women-footwear', 'heels', 'mast-and-harbour-heels']","Awfis, 7th floor, HM Vibha Tower, 25 Laskar Hosur Road, Adugodi, Bengalore 560029Bengaluru , Karnataka - 560029",Buy Mast & Harbour Women Blue Quilted Comfort Sandals - Heels for Women from Mast & Harbour at Rs. 989. Style ID: 15991658,"Mast & Harbour Women Blue Quilted Comfort Sandals,  Mast & Harbour, Heels, Shoes, Footwear, Footwear for Women, Buy Mast & Harbour Women Blue Quilted Comfort Sandals Online in India, Buy Heels at best price"
casual-shoes/asian/asian-women-grey-woven-design-lightweight-sneakers/17888014/buy,"['footwear', 'women-footwear', 'casual-shoes', 'asian-casual-shoes']","T-1/100 BASEMENT GROUND FLOOR HALF MANGOLPURI INDL AREA PHASE-1 NORTH WEST DELHIDelhi , Delhi - 110083",Buy ASIAN Women Grey Woven Design Lightweight Sneakers - Casual Shoes for Women from ASIAN at Rs. 529. Style ID: 17888014,"ASIAN Women Grey Woven Design Lightweight Sneakers,  ASIAN, Casual Shoes, Shoes, Footwear, Footwear for Women, Buy ASIAN Women Grey Woven Design Lightweight Sneakers Online in India, Buy Casual Shoes at best price"
flip-flops/puma/puma-men-blue--red-printed-thong-flip-flops/17214976/buy,"['footwear', 'men-footwear', 'flip-flops', 'puma-flip-flops']","Puma sports India Pvt Ltd/ Word Cat India Pvt Ltd. 496, Mahadevapura Main RoadNext to Hewlett Packard Service Gate, Mahadevapura, BangaloreBengaluru , Karnataka - 560048",Buy Puma Men Blue & Red Printed Thong Flip Flops - Flip Flops for Men from Puma at Rs. 974. Style ID: 17214976,"Puma Men Blue & Red Printed Thong Flip Flops,  Puma, Flip Flops, Flip Flops, Footwear, Footwear for Men, Buy Puma Men Blue & Red Printed Thong Flip Flops Online in India, Buy Flip Flops at best price"
flip-flops/duke/duke-men-brown--white-thong-flip-flops/17874918/buy,"['footwear', 'men-footwear', 'flip-flops', 'duke-flip-flops']","shopbox Ecommerce Pvt Ltd c/o MJ Logistics Private Limited,,Seabird Marine services Pvt Ltd Village Babra Bakirpur,Pataudi Road Near Adani Logistic Park, ICD PatliGurugram , Haryana - 122503",Buy Duke Men Brown & White Thong Flip Flops - Flip Flops for Men from Duke at Rs. 424. Style ID: 17874918,"Duke Men Brown & White Thong Flip Flops,  Duke, Flip Flops, Flip Flops, Footwear, Footwear for Men, Buy Duke Men Brown & White Thong Flip Flops Online in India, Buy Flip Flops at best price"
sandals/metro/metro-men-brown-leather-shoe-style-sandals/18030878/buy,"['footwear', 'men-footwear', 'sandals', 'metro-sandals']","Metro Brands Limited,Building no.B-3 Gala No.3,Bhagwan Sheth Estate,purna Village,Taluka Bhiwandi, Dist-ThaneBhiwandi , Maharashtra - 421302",Buy Metro Men Brown Leather Shoe Style Sandals - Sandals for Men from Metro at Rs. 3490. Style ID: 18030878,"Metro Men Brown Leather Shoe Style Sandals,  Metro, Sandals, Sandal, Footwear, Footwear for Men, Buy Metro Men Brown Leather Shoe Style Sandals Online in India, Buy Sandals at best price"
dresses/max/max-mustard-yellow-floral-maxi-dress/18207218/buy,"['clothing', 'women-clothing', 'dresses', 'max-dresses']","#41/2,42/2,Oblapura Gram panchyat,Anugondanahalli HobliDevangundi Main RoadHoskote TalukBengaluru , Karnataka - 560067",Buy Max Mustard Yellow Floral Printed Maxi Dress - Dresses for Women from Max at Rs. 999. Style ID: 18207218,"Max Mustard Yellow Floral Printed Maxi Dress,  Max, Dresses, Dress, Apparel, Apparel for Women, Buy Max Mustard Yellow Floral Printed Maxi Dress Online in India, Buy Dresses at best price"
kurta-sets/manyavar/manyavar-men-burgundy-embroidered-kurta-with-churidar/13412228/buy,"['clothing', 'men-clothing', 'kurta-sets', 'manyavar-kurta-sets']","Srijan Industrial Logistics Park, Part-C,Block-A,G-2,NH-6,Mohiary Chandni Bagan, Dhulagarh,Domjur,HOWRAHHowrah , West Bengal - 711302",Buy Manyavar Men Burgundy Embroidered Kurta With Churidar - Kurta Sets for Men from Manyavar at Rs. 5999. Style ID: 13412228,"Manyavar Men Burgundy Embroidered Kurta With Churidar,  Manyavar, Kurta Sets, Apparel Set, Apparel, Apparel for Men, Buy Manyavar Men Burgundy Embroidered Kurta With Churidar Online in India, Buy Kurta Sets at best price"
briefs/man-matters/man-matters-pack-of-2-solid-briefs-with-anti-microbial-and-micro-modal-finish/16811516/buy,"['clothing', 'men-clothing', 'briefs', 'man-matters-briefs']","A Wing, 5th Floor, Aakruti Trade Centre,MIDC Rd Number 7, Andheri East, Mumbai CityMumbai , Maharashtra - 400093",Buy Man Matters Pack Of 2 Solid Briefs With Anti Microbial And Micro Modal Finish - Briefs for Men from Man Matters at Rs. 758. Style ID: 16811516,"Man Matters Pack Of 2 Solid Briefs With Anti Microbial And Micro Modal Finish,  Man Matters, Briefs, Innerwear, Apparel, Apparel for Men, Buy Man Matters Pack Of 2 Solid Briefs With Anti Microbial And Micro Modal Finish Online in India, Buy Briefs at best price"
tshirts/only/only-women-beige-printed-tropical-t-shirt/16916600/buy,"['clothing', 'women-clothing', 'tshirts', 'only-tshirts']","5th Floor, The Lalit Residency, The Lalit Mumbai, Sahar Airport Road, Andheri East, Mumbai Suburban, Maharashtra, 400059Mumbai , Maharashtra - 400059",Buy ONLY Women Beige Printed Tropical T Shirt - Tshirts for Women from ONLY at Rs. 974. Style ID: 16916600,"ONLY Women Beige Printed Tropical T Shirt,  ONLY, Tshirts, Topwear, Apparel, Apparel for Women, Buy ONLY Women Beige Printed Tropical T Shirt Online in India, Buy Tshirts at best price"
dresses/tokyo-talkies/tokyo-talkies-women-black-floral-printed-fit-and-flare-dress/10841104/buy,"['clothing', 'women-clothing', 'dresses', 'tokyo-talkies-dresses']","5th Floor, Office No 504, Punj Essen House, 17-18, Nehru PlaceDelhi , Delhi - 110019",Buy Tokyo Talkies Women Black Floral Printed Fit And Flare Dress - Dresses for Women from Tokyo Talkies at Rs. 591. Style ID: 10841104,"Tokyo Talkies Women Black Floral Printed Fit And Flare Dress,  Tokyo Talkies, Dresses, Dress, Apparel, Apparel for Women, Buy Tokyo Talkies Women Black Floral Printed Fit And Flare Dress Online in India, Buy Dresses at best price"
